# players4cams.py working for a while
# $ sudo vcdbg reloc - returns:

Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97c840
173M free memory in 5 free block(s)
largest free block is 173M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 173M
[ 750] 0x3ab81d80: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ab81da0, d1ruAl) 'RIL buffer'
[ 123] 0x3ab95dc0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ab95de0, d1ruAl) 'RIL buffer'
[ 563] 0x3aba9e00: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3aba9e20, d1ruAl) 'RIL buffer'
[ 712] 0x3abbde40: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3abbde60, d1ruAl) 'RIL buffer'
[ 564] 0x3abd1e80: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3abd1ea0, d1ruAl) 'RIL buffer'
[ 387] 0x3abe5ec0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3abe5ee0, d1ruAl) 'RIL buffer'
[  75] 0x3abf9f00: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3abf9f20, d1ruAl) 'RIL buffer'
[  40] 0x3ac0df40: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac0df60, d1ruAl) 'RIL buffer'
[ 560] 0x3ac21f80: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac21fa0, d1ruAl) 'RIL buffer'
[  93] 0x3ac35fc0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac35fe0, d1ruAl) 'RIL buffer'
[ 577] 0x3ac4a000: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac4a020, d1ruAl) 'RIL buffer'
[ 724] 0x3ac5e040: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac5e060, d1ruAl) 'RIL buffer'
[   4] 0x3ac72080: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac720a0, d1ruAl) 'RIL buffer'
[ 371] 0x3ac860c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac860e0, d1ruAl) 'RIL buffer'
[ 496] 0x3ac9a100: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ac9a120, d1ruAl) 'RIL buffer'
[ 683] 0x3acae140: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3acae160, d1ruAl) 'RIL buffer'
[  56] 0x3acc2180: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3acc21a0, d1ruAl) 'RIL buffer'
[ 653] 0x3acd61c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3acd61e0, d1ruAl) 'RIL buffer'
[ 493] 0x3acea200: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3acea220, d1ruAl) 'RIL buffer'
[ 742] 0x3acfe240: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3acfe260, d1ruAl) 'RIL buffer'
[ 692] 0x3ad12280: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad122a0, d1ruAl) 'RIL buffer'
[ 736] 0x3ad262c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad262e0, d1ruAl) 'RIL buffer'
[ 229] 0x3ad3a300: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad3a320, d1ruAl) 'RIL buffer'
[ 746] 0x3ad4e340: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad4e360, d1ruAl) 'RIL buffer'
[ 126] 0x3ad62380: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad623a0, d1ruAl) 'RIL buffer'
[ 583] 0x3ad763c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad763e0, d1ruAl) 'RIL buffer'
[ 606] 0x3ad8a400: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad8a420, d1ruAl) 'RIL buffer'
[  51] 0x3ad9e440: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ad9e460, d1ruAl) 'RIL buffer'
[  49] 0x3adb2480: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3adb24a0, d1ruAl) 'RIL buffer'
[ 605] 0x3adc64c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3adc64e0, d1ruAl) 'RIL buffer'
[ 656] 0x3adda500: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3adda520, d1ruAl) 'RIL buffer'
[ 116] 0x3adee540: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3adee560, d1ruAl) 'RIL buffer'
[ 561] 0x3ae02580: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae025a0, d1ruAl) 'RIL buffer'
[ 624] 0x3ae165c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae165e0, d1ruAl) 'RIL buffer'
[ 661] 0x3ae2a600: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae2a620, d1ruAl) 'RIL buffer'
[ 702] 0x3ae3e640: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae3e660, d1ruAl) 'RIL buffer'
[ 766] 0x3ae52680: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae526a0, d1ruAl) 'RIL buffer'
[ 765] 0x3ae666c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae666e0, d1ruAl) 'RIL buffer'
[  47] 0x3ae7a700: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae7a720, d1ruAl) 'RIL buffer'
[ 596] 0x3ae8e740: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ae8e760, d1ruAl) 'RIL buffer'
[ 749] 0x3aea2780: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3aea27a0, d1ruAl) 'RIL buffer'
[ 635] 0x3aeb67c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3aeb67e0, d1ruAl) 'RIL buffer'
[ 651] 0x3aeca800: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3aeca820, d1ruAl) 'RIL buffer'
[ 593] 0x3aede840: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3aede860, d1ruAl) 'RIL buffer'
[ 681] 0x3aef2880: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3aef28a0, d1ruAl) 'RIL buffer'
[ 495] 0x3af068c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af068e0, d1ruAl) 'RIL buffer'
[ 686] 0x3af1a900: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af1a920, d1ruAl) 'RIL buffer'
[ 355] 0x3af2e940: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af2e960, d1ruAl) 'RIL buffer'
[ 657] 0x3af42980: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af429a0, d1ruAl) 'RIL buffer'
[ 640] 0x3af569c0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af569e0, d1ruAl) 'RIL buffer'
[ 115] 0x3af6aa00: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af6aa20, d1ruAl) 'RIL buffer'
[ 591] 0x3af7ea40: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af7ea60, d1ruAl) 'RIL buffer'
[ 604] 0x3af92a80: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3af92aa0, d1ruAl) 'RIL buffer'
[ 345] 0x3afa6ac0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3afa6ae0, d1ruAl) 'RIL buffer'
[  82] 0x3afbab00: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3afbab20, d1ruAl) 'RIL buffer'
[ 103] 0x3afceb40: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3afceb60, d3rual) 'RIL buffer'
[ 582] 0x3afd6b80: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3afd6ba0, d3rual) 'RIL buffer'
[ 658] 0x3afdebc0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3afdebe0, d3rual) 'RIL buffer'
[ 631] 0x3afe6c00: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3afe6c20, d3rual) 'RIL buffer'
[ 587] 0x3afeec40: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3afeec60, d3ruAl) 'RIL buffer'
[ 360] 0x3aff6c80: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3aff6ca0, d3ruAl) 'RIL buffer'
[ 446] 0x3affecc0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3affece0, d3ruAl) 'RIL buffer'
[ 378] 0x3b006d00: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b006d20, d3ruAl) 'RIL buffer'
[ 572] 0x3b00ed40: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b00ed60, d3ruAl) 'RIL buffer'
[ 552] 0x3b016d80: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b016da0, d3ruAl) 'RIL buffer'
[ 522] 0x3b01edc0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b01ede0, d3ruAl) 'RIL buffer'
[ 747] 0x3b026e00: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b026e20, d3ruAl) 'RIL buffer'
[ 120] 0x3b02ee40: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b02ee60, d3ruAl) 'RIL buffer'
[ 714] 0x3b036e80: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b036ea0, d3ruAl) 'RIL buffer'
[ 407] 0x3b03eec0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b03eee0, d3ruAl) 'RIL buffer'
[ 633] 0x3b046f00: used  49K (refcount 1 lock count 0, size    50112, align   32, data 0x3b046f20, d0Rual) 'Vdec3 Msgbuf'
[ 131] 0x3b053300: used  94K (refcount 1 lock count 0, size    96000, align    4, data 0x3b053320, d1Rual) 'H264 dm_storage'
[ 588] 0x3b06aa40: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3b06b000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 589] 0x3b1054e0: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3b106000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 339] 0x3b19ff80: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3b1a0000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 660] 0x3b23aa20: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b23aa40, d1ruAl) 'RIL buffer'
[ 728] 0x3b24aa60: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b24aa80, d1ruAl) 'RIL buffer'
[ 404] 0x3b25aaa0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b25aac0, d1ruAl) 'RIL buffer'
[  44] 0x3b26aae0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b26ab00, d1ruAl) 'RIL buffer'
[ 565] 0x3b27ab20: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b27ab40, d1ruAl) 'RIL buffer'
[  59] 0x3b28ab60: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b28ab80, d1ruAl) 'RIL buffer'
[  72] 0x3b29aba0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b29abc0, d1ruAl) 'RIL buffer'
[ 580] 0x3b2aabe0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b2aac00, d1ruAl) 'RIL buffer'
[ 715] 0x3b2bac20: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b2bac40, d1ruAl) 'RIL buffer'
[  29] 0x3b2cac60: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b2cac80, d1ruAl) 'RIL buffer'
[ 680] 0x3b2daca0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b2dacc0, d1ruAl) 'RIL buffer'
[ 373] 0x3b2eace0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b2ead00, d1ruAl) 'RIL buffer'
[ 642] 0x3b2fad20: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b2fad40, d1ruAl) 'RIL buffer'
[ 649] 0x3b30ad60: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b30ad80, d1ruAl) 'RIL buffer'
[ 740] 0x3b31ada0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b31adc0, d1ruAl) 'RIL buffer'
[ 394] 0x3b32ade0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b32ae00, d0rual) 'pcmdec_tmp'
[ 350] 0x3b33ae20: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b33ae40, d1ruAl) 'RIL buffer'
[ 696] 0x3b34ae60: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b34ae80, d0rual) 'pcmdec_out'
[ 668] 0x3b35aea0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b35aec0, d3ruAl) 'RIL buffer'
[  43] 0x3b362ee0: used  128 (refcount 1 lock count 0, size       48, align   32, data 0x3b362f00, d0ruAl) 'RIL buffer'
[ 408] 0x3b362f60: used  480 (refcount 1 lock count 0, size      404, align    4, data 0x3b362f80, d0rual) 'resample context'
[ 601] 0x3b363140: used  128 (refcount 1 lock count 0, size       48, align   32, data 0x3b363160, d0ruAl) 'RIL buffer'
[ 284] 0x3b3631c0: used 2.1K (refcount 1 lock count 0, size     2048, align    4, data 0x3b3631e0, d0rual) 'KHRN_MAP_T.storage'
[ 348] 0x3b363a00: used 2.1K (refcount 1 lock count 0, size     2048, align    4, data 0x3b363a20, d0rual) 'ILCS VC buffer pool'
[ 670] 0x3b364240: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x3b364260, d3rual) 'RIL buffer'
[  73] 0x3b366280: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x3b3662a0, d0ruAl) 'audio_mixer_tmp_rc'
[ 500] 0x3b3682c0: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x3b3682e0, d0ruAl) 'audio_mixer_tmp_dr'
[ 412] 0x3b36a300: used  832 (refcount 1 lock count 0, size      768, align    4, data 0x3b36a320, d0ruAl) 'ADec:metadata'
[ 556] 0x3b36a640: used 1.0M (refcount 1 lock count 1, size  1048576, align  256, data 0x3b36a700, d3Rual) 'Vdec3 CDB'
[ 641] 0x3b46a760: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b46b000, d1ruaL) 'video_decodeRIL:image pool'
[ 411] 0x3b48e020: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b48f000, d1ruaL) 'video_decodeRIL:image pool'
[ 666] 0x3b4b18e0: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b4b2000, d1ruaL) 'video_decodeRIL:image pool'
[ 576] 0x3b4d51a0: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b4d6000, d1ruaL) 'video_decodeRIL:image pool'
[ 693] 0x3b4f8a60: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b4f9000, d1ruaL) 'video_decodeRIL:image pool'
[ 111] 0x3b51c320: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b51d000, d1ruaL) 'video_decodeRIL:image pool'
[ 676] 0x3b53fbe0: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b540000, d1ruaL) 'video_decodeRIL:image pool'
[ 368] 0x3b5634a0: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b564000, d1ruaL) 'video_decodeRIL:image pool'
[ 734] 0x3b586d60: used 142K (refcount 2 lock count 8, size   141472, align 4096, data 0x3b587000, d1ruaL) 'video_decodeRIL:image pool'
[ 622] 0x3b5aa620: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b5ab000, d1ruaL) 'video_decodeRIL:image pool'
[ 581] 0x3b5cdee0: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b5ce000, d1ruaL) 'video_decodeRIL:image pool'
[ 359] 0x3b5f17a0: used 142K (refcount 1 lock count 0, size   141472, align 4096, data 0x3b5f2000, d1ruaL) 'video_decodeRIL:image pool'
