Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97d260
183M free memory in 6 free block(s)
largest free block is 183M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 183M
[  91] 0x3b3d7fa0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b3d7fc0, d1ruAl) 'RIL buffer'
[  90] 0x3b3ebfe0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b3ec000, d1ruAl) 'RIL buffer'
[  97] 0x3b400020: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b400040, d1ruAl) 'RIL buffer'
[  98] 0x3b414060: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b414080, d1ruAl) 'RIL buffer'
[  99] 0x3b4280a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b4280c0, d1ruAl) 'RIL buffer'
[ 100] 0x3b43c0e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b43c100, d1ruAl) 'RIL buffer'
[ 185] 0x3b450120: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b450140, d1ruAl) 'RIL buffer'
[ 187] 0x3b464160: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b464180, d1ruAl) 'RIL buffer'
[ 101] 0x3b4781a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b4781c0, d1ruAl) 'RIL buffer'
[ 151] 0x3b48c1e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b48c200, d1ruAl) 'RIL buffer'
[ 140] 0x3b4a0220: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b4a0240, d1ruAl) 'RIL buffer'
[ 150] 0x3b4b4260: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b4b4280, d1ruAl) 'RIL buffer'
[ 148] 0x3b4c82a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b4c82c0, d1ruAl) 'RIL buffer'
[ 146] 0x3b4dc2e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b4dc300, d1ruAl) 'RIL buffer'
[ 145] 0x3b4f0320: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b4f0340, d1ruAl) 'RIL buffer'
[  46] 0x3b504360: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b504380, d1ruAl) 'RIL buffer'
[  48] 0x3b5183a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b5183c0, d1ruAl) 'RIL buffer'
[  50] 0x3b52c3e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b52c400, d1ruAl) 'RIL buffer'
[  51] 0x3b540420: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b540440, d1ruAl) 'RIL buffer'
[  53] 0x3b554460: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b554480, d1ruAl) 'RIL buffer'
[  55] 0x3b5684a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b5684c0, d1ruAl) 'RIL buffer'
[  56] 0x3b57c4e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b57c500, d1ruAl) 'RIL buffer'
[  45] 0x3b590520: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b590540, d1ruAl) 'RIL buffer'
[  44] 0x3b5a4560: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b5a4580, d1ruAl) 'RIL buffer'
[  43] 0x3b5b85a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b5b85c0, d1ruAl) 'RIL buffer'
[ 102] 0x3b5cc5e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b5cc600, d1ruAl) 'RIL buffer'
[ 198] 0x3b5e0620: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b5e0640, d1ruAl) 'RIL buffer'
[ 184] 0x3b5f4660: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b5f4680, d1ruAl) 'RIL buffer'
[ 196] 0x3b6086a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6086c0, d1ruAl) 'RIL buffer'
[ 195] 0x3b61c6e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b61c700, d1ruAl) 'RIL buffer'
[ 194] 0x3b630720: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b630740, d1ruAl) 'RIL buffer'
[ 193] 0x3b644760: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b644780, d1ruAl) 'RIL buffer'
[ 191] 0x3b6587a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6587c0, d1ruAl) 'RIL buffer'
[  75] 0x3b66c7e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b66c800, d1ruAl) 'RIL buffer'
[  77] 0x3b680820: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b680840, d1ruAl) 'RIL buffer'
[ 192] 0x3b694860: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b694880, d1ruAl) 'RIL buffer'
[ 190] 0x3b6a88a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6a88c0, d1ruAl) 'RIL buffer'
[ 343] 0x3b6bc8e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6bc900, d1ruAl) 'RIL buffer'
[  23] 0x3b6d0920: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6d0940, d1ruAl) 'RIL buffer'
[  74] 0x3b6e4960: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6e4980, d1ruAl) 'RIL buffer'
[ 188] 0x3b6f89a0: used 8.1K (refcount 1 lock count 1, size     8192, align   32, data 0x3b6f89c0, d3rual) 'RIL buffer'
[ 237] 0x3b6fa9e0: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x3b6faa00, d3rual) 'RIL buffer'
[  72] 0x3b6fca20: used 1.1K (refcount 2 lock count 0, size     1024, align    4, data 0x3b6fca40, d0rual) 'resample coeff table data'
[  68] 0x3b6fce60: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x3b6fce80, d0ruAl) 'audio_mixer_tmp_dr'
[  58] 0x3b6feea0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b6feec0, d3rual) 'RIL buffer'
[  59] 0x3b706ee0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b706f00, d3rual) 'RIL buffer'
[  61] 0x3b70ef20: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b70ef40, d3ruAl) 'RIL buffer'
[ 245] 0x3b716f60: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b716f80, d3ruAl) 'RIL buffer'
[   5] 0x3b71efa0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b71efc0, d3ruAl) 'RIL buffer'
[  42] 0x3b726fe0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b727000, d3ruAl) 'RIL buffer'
[  20] 0x3b72f020: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b72f040, d3ruAl) 'RIL buffer'
[ 324] 0x3b737060: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b737080, d3ruAl) 'RIL buffer'
